"ID_Month","City","State","Latitude","Longitude","Altitude","ID","Monthly mean dry bulb temperature","Monthly mean dew point temperature","Monthly mean relative humidity","Monthly mean atmospheric pressure","Monthly mean global horizontal radiation","Monthly mean direct normal radiation","Monthly mean diffuse horizontal radiation","Monthly mean wind speed"
"BRA_SC_Urussanga.869700_INMET_07","Urussanga","SC",-28.53,-49.32,48,"BRA_SC_Urussanga.869700_INMET",13.4497311827957,10.6100806451613,84.2755376344086,101490.833333333,98.0913978494624,25.6559139784946,49.6115591397849,0.581989247311828
"BRA_SC_Urussanga.869700_INMET_08","Urussanga","SC",-28.53,-49.32,48,"BRA_SC_Urussanga.869700_INMET",16.6606182795699,12.1380376344086,78.3575268817204,101302.728494624,148.811827956989,53.8790322580645,61.8736559139785,0.898790322580645
"BRA_SC_Urussanga.869700_INMET_09","Urussanga","SC",-28.53,-49.32,48,"BRA_SC_Urussanga.869700_INMET",17.3534722222222,14.3938888888889,83.8833333333333,101216.125,122.076388888889,39.5583333333333,67.3166666666667,0.867777777777778
"BRA_SC_Urussanga.869700_INMET_10","Urussanga","SC",-28.53,-49.32,48,"BRA_SC_Urussanga.869700_INMET",18.9127688172043,15.0083333333333,79.989247311828,101039.489247312,173.674731182796,63.2647849462366,92.633064516129,0.93494623655914
"BRA_SC_Urussanga.869700_INMET_11","Urussanga","SC",-28.53,-49.32,48,"BRA_SC_Urussanga.869700_INMET",23.8780555555556,20.0386111111111,80.4777777777778,100530.402777778,183.126388888889,63.9541666666667,106.475,0.752777777777778
"BRA_SC_Urussanga.869700_INMET_12","Urussanga","SC",-28.53,-49.32,48,"BRA_SC_Urussanga.869700_INMET",23.7045698924731,19.908064516129,79.5793010752688,100705.860215054,216.987903225806,81.3400537634409,121.977150537634,0.807930107526882
"BRA_SC_Xanxere.869400_INMET_01","Xanxere","SC",-26.94,-52.4,889,"BRA_SC_Xanxere.869400_INMET",20.251747311828,15.5255376344086,75.7284946236559,91334.2741935484,231.228494623656,96.2822580645161,114.837365591398,3.59180107526882
"BRA_SC_Xanxere.869400_INMET_02","Xanxere","SC",-26.94,-52.4,889,"BRA_SC_Xanxere.869400_INMET",21.9105654761905,17.5563988095238,77.4360119047619,91353.0952380952,219.489583333333,86.9166666666667,111.915178571429,3.40357142857143
"BRA_SC_Xanxere.869400_INMET_03","Xanxere","SC",-26.94,-52.4,889,"BRA_SC_Xanxere.869400_INMET",21.1154569892473,16.2862903225806,74.9583333333333,91485.2795698925,208.530913978495,82.5537634408602,97.2849462365591,3.06397849462366
"BRA_SC_Xanxere.869400_INMET_04","Xanxere","SC",-26.94,-52.4,889,"BRA_SC_Xanxere.869400_INMET",17.5559722222222,12.5055555555556,74.5486111111111,91396.9305555556,148.897222222222,48.8166666666667,72.9555555555555,3.40736111111111
"BRA_SC_Xanxere.869400_INMET_05","Xanxere","SC",-26.94,-52.4,889,"BRA_SC_Xanxere.869400_INMET",15.3252688172043,10.4611559139785,74.7177419354839,91620,132.27688172043,40.0766129032258,61.5860215053763,3.96424731182796
"BRA_SC_Xanxere.869400_INMET_06","Xanxere","SC",-26.94,-52.4,889,"BRA_SC_Xanxere.869400_INMET",13.5768055555556,10.6204166666667,83.3194444444444,91696.3125,92.0152777777778,22.3972222222222,48.8416666666667,4.31430555555556
"BRA_SC_Xanxere.869400_INMET_07","Xanxere","SC",-26.94,-52.4,889,"BRA_SC_Xanxere.869400_INMET",17.3788978494624,9.94448924731183,63.5497311827957,91843.561827957,137.299731182796,43.758064516129,57.0981182795699,4.63413978494624
"BRA_SC_Xanxere.869400_INMET_08","Xanxere","SC",-26.94,-52.4,889,"BRA_SC_Xanxere.869400_INMET",16.15,10.7244623655914,72.5591397849462,91580.2284946237,151.815860215054,51.1384408602151,69.7688172043011,4.76518817204301
"BRA_SC_Xanxere.869400_INMET_09","Xanxere","SC",-26.94,-52.4,889,"BRA_SC_Xanxere.869400_INMET",14.5870833333333,8.83069444444445,71.3166666666667,91671.4513888889,195.265277777778,78.5847222222222,84.3722222222222,4.23069444444444
"BRA_SC_Xanxere.869400_INMET_10","Xanxere","SC",-26.94,-52.4,889,"BRA_SC_Xanxere.869400_INMET",17.9889784946237,14.0952956989247,79.1801075268817,91548.0376344086,182.860215053763,70.4610215053764,92.6962365591398,4.50483870967742
"BRA_SC_Xanxere.869400_INMET_11","Xanxere","SC",-26.94,-52.4,889,"BRA_SC_Xanxere.869400_INMET",19.5693055555556,14.0958333333333,72.5125,91363.4027777778,256.8875,115.208333333333,117.179166666667,3.58138888888889
"BRA_SC_Xanxere.869400_INMET_12","Xanxere","SC",-26.94,-52.4,889,"BRA_SC_Xanxere.869400_INMET",21.2228494623656,13.5219086021505,64.2069892473118,91244.4623655914,288.447580645161,140.006720430108,120.456989247312,3.40806451612903
"BRA_SE_Aracaju.866160_INMET_01","Aracaju","SE",-10.91,-37.07,5,"BRA_SE_Aracaju.866160_INMET",27.4534946236559,23.8559139784946,80.8655913978495,101222.47311828,295.51747311828,163.233870967742,97.1922043010753,3.94112903225806
"BRA_SE_Aracaju.866160_INMET_02","Aracaju","SE",-10.91,-37.07,5,"BRA_SE_Aracaju.866160_INMET",27.999255952381,22.9705357142857,74.3125,101235.989583333,269.33630952381,142.191964285714,100.879464285714,3.77827380952381
"BRA_SE_Aracaju.866160_INMET_03","Aracaju","SE",-10.91,-37.07,5,"BRA_SE_Aracaju.866160_INMET",27.8595430107527,22.7916666666667,74.0524193548387,101189.462365591,276.603494623656,155.088709677419,90.1908602150538,3.24059139784946
"BRA_SE_Aracaju.866160_INMET_04","Aracaju","SE",-10.91,-37.07,5,"BRA_SE_Aracaju.866160_INMET",27.8784722222222,22.2301388888889,71.6055555555556,101253.166666667,221.906944444444,98.9416666666667,93.1305555555556,2.97125
"BRA_SE_Aracaju.866160_INMET_05","Aracaju","SE",-10.91,-37.07,5,"BRA_SE_Aracaju.866160_INMET",26.4809139784946,22.3095430107527,78.0712365591398,101360.403225806,172.520161290323,62.3602150537634,83.119623655914,2.64516129032258
"BRA_SE_Aracaju.866160_INMET_06","Aracaju","SE",-10.91,-37.07,5,"BRA_SE_Aracaju.866160_INMET",25.5873611111111,20.7593055555556,75.0736111111111,101513.986111111,179.804166666667,68.3388888888889,78.5402777777778,2.43944444444444
"BRA_SE_Aracaju.866160_INMET_07","Aracaju","SE",-10.91,-37.07,5,"BRA_SE_Aracaju.866160_INMET",25.0024193548387,19.5469086021505,72.1370967741936,101733.77688172,174.712365591398,64.7795698924731,81.2862903225806,2.76034946236559
"BRA_SE_Aracaju.866160_INMET_08","Aracaju","SE",-10.91,-37.07,5,"BRA_SE_Aracaju.866160_INMET",24.9090053763441,20.2408602150538,75.4153225806452,101701.169354839,198.985215053763,80.7876344086021,90.5766129032258,2.84852150537634
"BRA_SE_Aracaju.866160_INMET_09","Aracaju","SE",-10.91,-37.07,5,"BRA_SE_Aracaju.866160_INMET",25.5979166666667,20.2445833333333,72.2958333333333,101607.666666667,223.386111111111,99.2694444444444,98.6944444444444,3.34625
"BRA_SE_Aracaju.866160_INMET_10","Aracaju","SE",-10.91,-37.07,5,"BRA_SE_Aracaju.866160_INMET",26.041935483871,20.8280913978495,73.0927419354839,101415.080645161,240.971774193548,111,108.302419354839,4.00416666666667
"BRA_SE_Aracaju.866160_INMET_11","Aracaju","SE",-10.91,-37.07,5,"BRA_SE_Aracaju.866160_INMET",26.3995833333333,21.8863888888889,76.3069444444444,101229.791666667,285.066666666667,150.383333333333,107.425,4.10319444444444
"BRA_SE_Aracaju.866160_INMET_12","Aracaju","SE",-10.91,-37.07,5,"BRA_SE_Aracaju.866160_INMET",27.2600806451613,21.8688172043011,72.3924731182796,101241.330645161,277.864247311828,141.467741935484,107.75,4.49153225806452
"BRA_SE_Brejo.Grande.866180_INMET_01","Brejo Grande","SE",-10.47,-36.48,10,"BRA_SE_Brejo.Grande.866180_INMET",27.3795698924731,21.6875,72.1115591397849,101188.064516129,274.44623655914,141.073924731183,107.456989247312,1.89126344086022
"BRA_SE_Brejo.Grande.866180_INMET_02","Brejo Grande","SE",-10.47,-36.48,10,"BRA_SE_Brejo.Grande.866180_INMET",27.2540178571429,21.9025297619048,73.6071428571429,101127.686011905,242.636904761905,110.488095238095,112.141369047619,1.60119047619048
"BRA_SE_Brejo.Grande.866180_INMET_03","Brejo Grande","SE",-10.47,-36.48,10,"BRA_SE_Brejo.Grande.866180_INMET",27.4795698924731,22.6525537634409,76.0349462365591,101045.01344086,259.299731182796,132.534946236559,100.306451612903,1.47150537634409
"BRA_SE_Brejo.Grande.866180_INMET_04","Brejo Grande","SE",-10.47,-36.48,10,"BRA_SE_Brejo.Grande.866180_INMET",27.2369444444444,22.6777777777778,77.1972222222222,101165.763888889,212.979166666667,93.6625,97.8930555555555,1.19236111111111
"BRA_SE_Brejo.Grande.866180_INMET_05","Brejo Grande","SE",-10.47,-36.48,10,"BRA_SE_Brejo.Grande.866180_INMET",25.7165322580645,22.9774193548387,85.1034946236559,101269.516129032,140.834677419355,41.622311827957,85.8615591397849,1.03575268817204
"BRA_SE_Brejo.Grande.866180_INMET_06","Brejo Grande","SE",-10.47,-36.48,10,"BRA_SE_Brejo.Grande.866180_INMET",25.4479166666667,21.9383333333333,81.1722222222222,101500.375,163.775,52.4347222222222,90.4722222222222,1.14319444444444
"BRA_SE_Brejo.Grande.866180_INMET_07","Brejo Grande","SE",-10.47,-36.48,10,"BRA_SE_Brejo.Grande.866180_INMET",24.7073924731183,21.4603494623656,82.4059139784946,101598.924731183,166.940860215054,55.7177419354839,90.9637096774194,1.14623655913978
"BRA_SE_Brejo.Grande.866180_INMET_08","Brejo Grande","SE",-10.47,-36.48,10,"BRA_SE_Brejo.Grande.866180_INMET",24.7540322580645,21.0762096774194,80.3575268817204,101591.370967742,182.290322580645,64.1384408602151,100.618279569892,1.5010752688172
"BRA_SE_Brejo.Grande.866180_INMET_09","Brejo Grande","SE",-10.47,-36.48,10,"BRA_SE_Brejo.Grande.866180_INMET",25.3030555555556,21.3033333333333,78.9111111111111,101568.861111111,233.622222222222,105.822222222222,105.305555555556,1.58430555555556
"BRA_SE_Brejo.Grande.866180_INMET_10","Brejo Grande","SE",-10.47,-36.48,10,"BRA_SE_Brejo.Grande.866180_INMET",26.3622311827957,21.8260752688172,76.6478494623656,101216.008064516,262.641129032258,136.388440860215,102.626344086022,1.8119623655914
"BRA_SE_Brejo.Grande.866180_INMET_11","Brejo Grande","SE",-10.47,-36.48,10,"BRA_SE_Brejo.Grande.866180_INMET",26.8775,21.1748611111111,71.5291666666667,101222.958333333,283.55,153.043055555556,102.120833333333,2.09
"BRA_SE_Brejo.Grande.866180_INMET_12","Brejo Grande","SE",-10.47,-36.48,10,"BRA_SE_Brejo.Grande.866180_INMET",27.2680107526882,22.0040322580645,73.5658602150538,101213.965053763,263.694892473118,126.860215053763,110.487903225806,1.86760752688172
"BRA_SE_Carira.866150_INMET_01","Carira","SE",-10.4,-37.75,308,"BRA_SE_Carira.866150_INMET",26.2641129032258,19.7807795698925,70.4180107526882,97948.6827956989,232.576612903226,87.3508064516129,127.02688172043,3.31075268817204
"BRA_SE_Carira.866150_INMET_02","Carira","SE",-10.4,-37.75,308,"BRA_SE_Carira.866150_INMET",26.028869047619,21.0706845238095,76.2038690476191,97929.9851190476,239.427083333333,104.00744047619,116.272321428571,2.95223214285714
"BRA_SE_Carira.866150_INMET_03","Carira","SE",-10.4,-37.75,308,"BRA_SE_Carira.866150_INMET",26.5430107526882,21.0739247311828,74.3682795698925,97883.686827957,244.697580645161,114.880376344086,105.77688172043,2.67876344086022
"BRA_SE_Carira.866150_INMET_04","Carira","SE",-10.4,-37.75,308,"BRA_SE_Carira.866150_INMET",24.9811111111111,21.6184722222222,82.9444444444444,97825.5138888889,216.198611111111,87.9027777777778,103.336111111111,2.35097222222222
"BRA_SE_Carira.866150_INMET_05","Carira","SE",-10.4,-37.75,308,"BRA_SE_Carira.866150_INMET",23.1202956989247,20.9212365591398,87.9502688172043,98076.0483870968,162.884408602151,51.5362903225806,92.252688172043,2.39018817204301
"BRA_SE_Carira.866150_INMET_06","Carira","SE",-10.4,-37.75,308,"BRA_SE_Carira.866150_INMET",21.735,19.3329166666667,86.8430555555556,98273.25,172.513888888889,58.4930555555556,86.6277777777778,2.3775
"BRA_SE_Carira.866150_INMET_07","Carira","SE",-10.4,-37.75,308,"BRA_SE_Carira.866150_INMET",20.7684139784946,18.5770161290323,87.8077956989247,98437.2446236559,178.088709677419,63.385752688172,88.9838709677419,2.56397849462366
"BRA_SE_Carira.866150_INMET_08","Carira","SE",-10.4,-37.75,308,"BRA_SE_Carira.866150_INMET",21.382123655914,18.8952956989247,86.6182795698925,98273.1586021505,193.337365591398,69.8561827956989,102.356182795699,2.45174731182796
"BRA_SE_Carira.866150_INMET_09","Carira","SE",-10.4,-37.75,308,"BRA_SE_Carira.866150_INMET",22.7491666666667,18.8479166666667,80.6638888888889,98288.125,212.166666666667,78.3097222222222,115.601388888889,2.83347222222222
"BRA_SE_Carira.866150_INMET_10","Carira","SE",-10.4,-37.75,308,"BRA_SE_Carira.866150_INMET",24.2783602150538,18.8596774193548,74.6008064516129,98178.6693548387,243.508064516129,104.416666666667,118.689516129032,3.5510752688172
"BRA_SE_Carira.866150_INMET_11","Carira","SE",-10.4,-37.75,308,"BRA_SE_Carira.866150_INMET",26.1804166666667,18.4752777777778,66.4361111111111,97884.5416666667,272.834722222222,134.775,111.501388888889,4.30416666666667
"BRA_SE_Carira.866150_INMET_12","Carira","SE",-10.4,-37.75,308,"BRA_SE_Carira.866150_INMET",26.2447580645161,19.2758064516129,68.9139784946236,97820.3897849462,257.135752688172,121.266129032258,109.883064516129,3.70618279569892
"BRA_SE_Itabaianinha.866380_INMET_01","Itabaianinha","SE",-11.27,-37.79,208,"BRA_SE_Itabaianinha.866380_INMET",26.6583333333333,20.9018817204301,72.5577956989247,98908.0913978495,263.756720430108,120.173387096774,116.89247311828,3.13427419354839
"BRA_SE_Itabaianinha.866380_INMET_02","Itabaianinha","SE",-11.27,-37.79,208,"BRA_SE_Itabaianinha.866380_INMET",26.0763392857143,22.0830357142857,79.7559523809524,98887.8125,232.540178571429,97.4523809523809,115.71875,2.6766369047619
"BRA_SE_Itabaianinha.866380_INMET_03","Itabaianinha","SE",-11.27,-37.79,208,"BRA_SE_Itabaianinha.866380_INMET",26.6224462365591,22.4647849462366,79.5255376344086,98827.5,231.172043010753,99.5,109.283602150538,2.67513440860215
"BRA_SE_Itabaianinha.866380_INMET_04","Itabaianinha","SE",-11.27,-37.79,208,"BRA_SE_Itabaianinha.866380_INMET",25.1795833333333,22.3708333333333,85.2125,98902.2361111111,187.341666666667,66.5805555555555,101.3,2.48305555555556
"BRA_SE_Itabaianinha.866380_INMET_05","Itabaianinha","SE",-11.27,-37.79,208,"BRA_SE_Itabaianinha.866380_INMET",24.8373655913978,21.8983870967742,84.4663978494624,98986.377688172,192.201612903226,69.5698924731183,94.3817204301075,2.29529569892473
"BRA_SE_Itabaianinha.866380_INMET_06","Itabaianinha","SE",-11.27,-37.79,208,"BRA_SE_Itabaianinha.866380_INMET",22.7893055555556,20.6927777777778,88.3666666666667,99298.6111111111,144.204166666667,39.0361111111111,86.8875,2.81763888888889
"BRA_SE_Itabaianinha.866380_INMET_07","Itabaianinha","SE",-11.27,-37.79,208,"BRA_SE_Itabaianinha.866380_INMET",22.2170698924731,19.9318548387097,87.491935483871,99345.9005376344,175.626344086022,60.2674731182796,89.8346774193548,2.71975806451613
"BRA_SE_Itabaianinha.866380_INMET_08","Itabaianinha","SE",-11.27,-37.79,208,"BRA_SE_Itabaianinha.866380_INMET",21.8065860215054,18.5701612903226,82.8467741935484,99421.4045698925,194.150537634409,70.9099462365591,99.5672043010753,2.72795698924731
"BRA_SE_Itabaianinha.866380_INMET_09","Itabaianinha","SE",-11.27,-37.79,208,"BRA_SE_Itabaianinha.866380_INMET",22.5306944444444,19.0908333333333,82.025,99268.4444444444,217.506944444444,84.2166666666667,112.990277777778,3.02555555555556
