"ID","City","State","Latitude (º)","Longitude (º)","Altitude (m)","Annual mean dry bulb temperature (ºC)","Annual mean dew point temperature (ºC)","Annual mean relative humidity (%)","Annual mean atmospheric pressure (Pa)","Annual mean global horizontal radiation (Wh/m²)","Annual mean direct normal radiation (Wh/m²)","Annual mean diffuse horizontal radiation (Wh/m²)","Annual mean wind speed (m/s)"
"_MA_Buriticupu","Buriticupu","MA",-4.32,-46.45,175,26.1971689497717,20.8921118721461,74.4785388127854,99066.3989726027,192.058219178082,64.3912100456621,109.160844748858,2.20922374429224
"_MA_Carolina","Carolina","MA",-7.34,-47.46,192,26.5788470319635,20.8635502283105,73.8920091324201,98996.6906392694,203.7649543379,82.1557077625571,99.1981735159817,0.992979452054795
"_MA_Caxias","Caxias","MA",-4.82,-43.34,76,26.3755936073059,21.3618835616438,76.0149543378995,100139.070776256,213.594634703196,87.553196347032,103.776484018265,1.13407534246575
"_MA_Chapadinha","Chapadinha","MA",-3.74,-43.35,91,26.8950913242009,21.4600799086758,74.8454337899543,99912.4594748859,222.60799086758,95.6626712328767,103.118493150685,1.75691780821918
"_MA_Colinas","Colinas","MA",-6.03,-44.23,179,26.0540525114155,20.7858561643836,75.4002283105023,99056.9920091324,198.615867579909,73.5795662100457,104.804223744292,1.15551369863014
"_MA_Estreito","Estreito","MA",-6.65,-47.42,180,25.8402853881279,20.5549657534247,76.2264840182648,98977.9149543379,207.451598173516,85.1077625570776,99.1799086757991,1.33175799086758
"_MA_Farol Preguicas","Farol Preguiças","MA",-2.59,-42.71,0,27.4976255707763,23.1705365296804,77.49600456621,101061.621575342,214.500228310502,92.334703196347,96.110502283105,3.28836757990868
"_MA_Farol Santana","Farol Santana","MA",-2.27,-43.62,0,27.3578310502283,23.0321575342466,77.4454337899543,101003.131278539,229.461757990868,109.738242009132,92.7598173515982,3.28849315068493
"_MA_Grajau","Grajaú","MA",-5.82,-46.16,230,26.127796803653,20.7265410958904,74.3803652968036,98489.200913242,199.248401826484,74.4974885844749,103.30605022831,1.56299086757991
"_MA_Imperatriz","Imperatriz","MA",-5.56,-47.46,126,26.8887899543379,21.2928082191781,73.9067351598173,99757.5639269406,197.418607305936,71.009703196347,106.044748858447,1.25182648401826
"_MA_Sao Luis","São Luís","MA",-2.53,-44.3,56,26.7560388127854,23.2500913242009,81.7389269406393,101003.131278539,214.813698630137,87.7328767123288,105.249771689498,2.0887899543379
"_MA_Turiacu","Turiaçu","MA",-1.66,-45.37,41,26.5266095890411,22.981404109589,81.6562785388128,100591.062785388,193.362328767123,69.4465753424657,105.243721461187,2.83130136986301
"_MG_Aguas Vermelhas","Águas Vermelhas","MG",-15.75,-41.46,740,21.3909589041096,16.0794406392694,74.8222602739726,92988.1261415525,206.181392694064,86.215296803653,98.1196347031964,1.97702054794521
"_MG_Aimores","Aimorés","MG",-19.5,-41.06,84,24.6667808219178,18.8565182648402,72.1748858447489,99872.421347032,225.196461187215,102.587442922374,90.4665525114155,1.97510273972603
"_MG_Almenara","Almenara","MG",-16.18,-40.69,208,25.2161187214612,18.826095890411,70.4533105022831,99313.1267123288,219.70696347032,99.0095890410959,95.2135844748858,1.36922374429224
"_MG_Araxa","Araxá","MG",-19.59,-46.94,1020,21.4013584474886,13.5172260273973,63.6816210045662,90212.6550228311,240.199885844749,109.395433789954,94.8996575342466,2.46552511415525
"_MG_Belo Horizonte-Pampulha AP","Belo Horizonte-Pampulha AP","MG",-19.82,-43.96,869,21.7520776255708,15.1519178082192,68.2694063926941,91914.251369863,219.212214611872,95.0511415525114,91.6730593607306,2.23840182648402
"_MG_Buritis","Buritis","MG",-15.62,-46.42,894,22.2758105022831,16.2882876712329,71.2246575342466,91146.6011415525,221.597716894977,98.1678082191781,95.4513698630137,2.46351598173516
"_MG_Caldas","Caldas","MG",-21.92,-46.39,1150,17.8654337899543,13.6140867579909,79.1737442922374,88457.0196347032,197.809817351598,77.7159817351598,91.9931506849315,1.01109589041096
"_MG_Capelinha","Capelinha","MG",-17.69,-42.52,932,20.080901826484,15.985296803653,79.1639269406393,91117.3715753425,199.858789954338,78.2498858447489,97.1005707762557,1.93102739726027
"_MG_Carangola","Carangola","MG",-20.73,-42.02,399,22.029098173516,16.3458561643836,72.7649543378995,96957.7853881279,179.802054794521,67.6228310502283,90.4760273972603,0.452043378995434
"_MG_Caratinga","Caratinga","MG",-19.79,-42.14,615,21.7679908675799,17.2109474885845,77.1261415525114,94627.1324200913,203.276369863014,81.3223744292237,95.9045662100457,1.35817351598174
